id,name,status,totalLicenses,usedLicenses,remainingLicenses,expirationDate,type,apiName,createdAt,updatedAt
830737,Distributed Marketing,Active,10,0,10,,Permission Set Licenses,DMLAuthority_DistributedMarketingPSL,2026-05-04T00:47:36.943Z,2026-05-04T00:47:36.943Z
830738,Einstein Conversation Insights AI User License,Active,5,2,3,,Permission Set Licenses,EinsteinGPTSalesCallSummariesPsl,2026-05-04T00:47:36.943Z,2026-05-04T00:47:36.943Z
830739,Einstein Discovery Analyst,Active,150,0,150,,Permission Set Licenses,SmartDataDiscoveryAnalystPsl,2026-05-04T00:47:36.943Z,2026-05-04T00:47:36.943Z
830740,Einstein Discovery User,Active,150,0,150,,Permission Set Licenses,SmartDataDiscoveryConsumerPsl,2026-05-04T00:47:36.943Z,2026-05-04T00:47:36.943Z
830741,Einstein GPT Article Recommendations for Conversations,Disabled,0,1,-1,,Permission Set Licenses,EinsteinARForConversationsPsl,2026-05-04T00:47:36.943Z,2026-05-04T00:47:36.943Z
830742,Einstein GPT Metadata Studio,Active,50,0,50,,Permission Set Licenses,EinsteinGPTGroundingStructuredDataPsl,2026-05-04T00:47:36.943Z,2026-05-04T00:47:36.943Z
830743,Einstein GPT Sales Emails,Active,5,2,3,,Permission Set Licenses,EinsteinGPTSalesEmailsPsl,2026-05-04T00:47:36.943Z,2026-05-04T00:47:36.943Z
830744,Einstein GPT Search Answers,Active,5,2,3,,Permission Set Licenses,EinsteinGPTSearchAnswersPsl,2026-05-04T00:47:36.943Z,2026-05-04T00:47:36.943Z
830745,Einstein GPT Service Replies,Active,5,1,4,,Permission Set Licenses,EinsteinGPTServiceRepliesPsl,2026-05-04T00:47:36.943Z,2026-05-04T00:47:36.943Z
830746,Einstein GPT Service Replies For Email,Active,5,1,4,,Permission Set Licenses,EinsteinGPTServiceRepliesForEmailPsl,2026-05-04T00:47:36.943Z,2026-05-04T00:47:36.943Z
830747,Einstein GPT Work Summaries,Active,5,1,4,,Permission Set Licenses,EinsteinGPTServiceSummarizationPsl,2026-05-04T00:47:36.943Z,2026-05-04T00:47:36.943Z
830748,Einstein Prompt Templates,Active,110,5,105,,Permission Set Licenses,EinsteinGPTPromptTemplatesPsl,2026-05-04T00:47:36.943Z,2026-05-04T00:47:36.943Z
830749,Einstein Sales Summaries,Active,5,2,3,,Permission Set Licenses,EinsteinGPTSalesSummariesPsl,2026-05-04T00:47:36.943Z,2026-05-04T00:47:36.943Z
830750,Einstein Service Email Assistant,Active,5,1,4,,Permission Set Licenses,EinsteinGPTServiceEmailAssistantPsl,2026-05-04T00:47:36.943Z,2026-05-04T00:47:36.943Z
830751,Enablement Lite,Active,15,0,15,,Permission Set Licenses,EnablementLitePsl,2026-05-04T00:47:36.943Z,2026-05-04T00:47:36.943Z
830752,Enhanced Mobile App Security User,Active,15,1,14,,Permission Set Licenses,MobileAppSecurityUser,2026-05-04T00:47:36.943Z,2026-05-04T00:47:36.943Z
830753,Event Monitoring Analytics Apps,Active,100,3,97,,Permission Set Licenses,InsightsAdminAnalyticsPsl,2026-05-04T00:47:36.943Z,2026-05-04T00:47:36.943Z
830754,Field Service Dispatcher,Active,15,0,15,,Permission Set Licenses,FieldServiceDispatcherPsl,2026-05-04T00:47:36.943Z,2026-05-04T00:47:36.943Z
830755,Field Service Mobile,Active,15,0,15,,Permission Set Licenses,FieldServiceMobilePsl,2026-05-04T00:47:36.943Z,2026-05-04T00:47:36.943Z
830756,Field Service Scheduling,Active,15,0,15,,Permission Set Licenses,FieldServiceSchedulingPsl,2026-05-04T00:47:36.943Z,2026-05-04T00:47:36.943Z
830757,Field Service Standard,Active,15,0,15,,Permission Set Licenses,FieldServiceStandardPsl,2026-05-04T00:47:36.943Z,2026-05-04T00:47:36.943Z
830758,Files Connect for on-premises external data sources,Active,10,0,10,,Permission Set Licenses,FilesConnectOnPremisesPsl,2026-05-04T00:47:36.943Z,2026-05-04T00:47:36.943Z
830759,Inbox,Active,5,0,5,,Permission Set Licenses,SalesforceIQInboxPsl,2026-05-04T00:47:36.943Z,2026-05-04T00:47:36.943Z
830760,Marketing Cloud,Active,1000,0,1000,,Permission Set Licenses,MarketingCloudPsl,2026-05-04T00:47:36.943Z,2026-05-04T00:47:36.943Z
830761,Marketing Copilot Campaign Actions,Active,1000,0,1000,,Permission Set Licenses,MarketingCopilotCampaignActionsPsl,2026-05-04T00:47:36.943Z,2026-05-04T00:47:36.943Z
830762,Messaging User,Active,10,0,10,,Permission Set Licenses,LiveMessageUserPsl,2026-05-04T00:47:36.943Z,2026-05-04T00:47:36.943Z
830763,Mobile Offline App Plus User,Active,10,5,5,,Permission Set Licenses,MobileOfflineAppPlusUser,2026-05-04T00:47:36.943Z,2026-05-04T00:47:36.943Z
830764,Orders Platform,Active,50,0,50,,Permission Set Licenses,ContractsOrdersProductsPsl,2026-05-04T00:47:36.943Z,2026-05-04T00:47:36.943Z
