metadataName,scanName,itemName,id,metadataId,itemId,type,description,line,column,severity,rule,category,engine,url,problem,name,label,createdAt,updatedAt
11855,12909,355247106,150384868,11855,355247106,lwc,Expected an assignment or function call and instead saw an expression.,1,1,2,no-unused-expressions,suggestion,eslint-lwc,https://eslint.org/docs/latest/rules/no-unused-expressions,41,activityDateGroup.js,activityDateGroup,2026-05-04T00:45:43.543Z,2026-05-04T00:45:43.543Z
11855,12909,355247106,150384869,11855,355247106,lwc,'hidden' is not defined.,1,2,2,no-undef,problem,eslint-lwc,https://eslint.org/docs/latest/rules/no-undef,42,activityDateGroup.js,activityDateGroup,2026-05-04T00:45:43.543Z,2026-05-04T00:45:43.543Z
11855,12909,355247111,150384870,11855,355247111,lwc,Expected an assignment or function call and instead saw an expression.,1,1,2,no-unused-expressions,suggestion,eslint-lwc,https://eslint.org/docs/latest/rules/no-unused-expressions,43,activityListViewManager.js,activityListViewManager,2026-05-04T00:45:43.543Z,2026-05-04T00:45:43.543Z
11855,12909,355247111,150384871,11855,355247111,lwc,'hidden' is not defined.,1,2,2,no-undef,problem,eslint-lwc,https://eslint.org/docs/latest/rules/no-undef,44,activityListViewManager.js,activityListViewManager,2026-05-04T00:45:43.543Z,2026-05-04T00:45:43.543Z
11855,12909,355247117,150384872,11855,355247117,lwc,Expected an assignment or function call and instead saw an expression.,1,1,2,no-unused-expressions,suggestion,eslint-lwc,https://eslint.org/docs/latest/rules/no-unused-expressions,45,activityStream.js,activityStream,2026-05-04T00:45:43.543Z,2026-05-04T00:45:43.543Z
11855,12909,355247117,150384873,11855,355247117,lwc,'hidden' is not defined.,1,2,2,no-undef,problem,eslint-lwc,https://eslint.org/docs/latest/rules/no-undef,46,activityStream.js,activityStream,2026-05-04T00:45:43.543Z,2026-05-04T00:45:43.543Z
11855,12909,355247122,150384874,11855,355247122,lwc,Expected an assignment or function call and instead saw an expression.,1,1,2,no-unused-expressions,suggestion,eslint-lwc,https://eslint.org/docs/latest/rules/no-unused-expressions,47,activityStreamHeader.js,activityStreamHeader,2026-05-04T00:45:43.543Z,2026-05-04T00:45:43.543Z
11855,12909,355247122,150384875,11855,355247122,lwc,'hidden' is not defined.,1,2,2,no-undef,problem,eslint-lwc,https://eslint.org/docs/latest/rules/no-undef,48,activityStreamHeader.js,activityStreamHeader,2026-05-04T00:45:43.543Z,2026-05-04T00:45:43.543Z
11855,12909,355247127,150384876,11855,355247127,lwc,Expected an assignment or function call and instead saw an expression.,1,1,2,no-unused-expressions,suggestion,eslint-lwc,https://eslint.org/docs/latest/rules/no-unused-expressions,49,activityTimeLine.js,activityTimeLine,2026-05-04T00:45:43.543Z,2026-05-04T00:45:43.543Z
11855,12909,355247127,150384877,11855,355247127,lwc,'hidden' is not defined.,1,2,2,no-undef,problem,eslint-lwc,https://eslint.org/docs/latest/rules/no-undef,50,activityTimeLine.js,activityTimeLine,2026-05-04T00:45:43.543Z,2026-05-04T00:45:43.543Z
11855,12909,355247129,150384878,11855,355247129,lwc,Expected an assignment or function call and instead saw an expression.,1,1,2,no-unused-expressions,suggestion,eslint-lwc,https://eslint.org/docs/latest/rules/no-unused-expressions,51,activityTimeLinePo.js,activityTimeLinePo,2026-05-04T00:45:43.543Z,2026-05-04T00:45:43.543Z
11855,12909,355247129,150384879,11855,355247129,lwc,'hidden' is not defined.,1,2,2,no-undef,problem,eslint-lwc,https://eslint.org/docs/latest/rules/no-undef,52,activityTimeLinePo.js,activityTimeLinePo,2026-05-04T00:45:43.543Z,2026-05-04T00:45:43.543Z
11855,12909,355247132,150384880,11855,355247132,lwc,Expected an assignment or function call and instead saw an expression.,1,1,2,no-unused-expressions,suggestion,eslint-lwc,https://eslint.org/docs/latest/rules/no-unused-expressions,53,activityTimeLineItem.js,activityTimeLineItem,2026-05-04T00:45:43.543Z,2026-05-04T00:45:43.543Z
11855,12909,355247132,150384881,11855,355247132,lwc,'hidden' is not defined.,1,2,2,no-undef,problem,eslint-lwc,https://eslint.org/docs/latest/rules/no-undef,54,activityTimeLineItem.js,activityTimeLineItem,2026-05-04T00:45:43.543Z,2026-05-04T00:45:43.543Z
11855,12909,355247134,150384882,11855,355247134,lwc,Expected an assignment or function call and instead saw an expression.,1,1,2,no-unused-expressions,suggestion,eslint-lwc,https://eslint.org/docs/latest/rules/no-unused-expressions,55,activityTimeLineItemPo.js,activityTimeLineItemPo,2026-05-04T00:45:43.543Z,2026-05-04T00:45:43.543Z
11855,12909,355247134,150384883,11855,355247134,lwc,'hidden' is not defined.,1,2,2,no-undef,problem,eslint-lwc,https://eslint.org/docs/latest/rules/no-undef,56,activityTimeLineItemPo.js,activityTimeLineItemPo,2026-05-04T00:45:43.543Z,2026-05-04T00:45:43.543Z
11855,12909,355247138,150384884,11855,355247138,lwc,Expected an assignment or function call and instead saw an expression.,1,1,2,no-unused-expressions,suggestion,eslint-lwc,https://eslint.org/docs/latest/rules/no-unused-expressions,57,addMetadataDialog.js,addMetadataDialog,2026-05-04T00:45:43.543Z,2026-05-04T00:45:43.543Z
11855,12909,355247138,150384885,11855,355247138,lwc,'hidden' is not defined.,1,2,2,no-undef,problem,eslint-lwc,https://eslint.org/docs/latest/rules/no-undef,58,addMetadataDialog.js,addMetadataDialog,2026-05-04T00:45:43.543Z,2026-05-04T00:45:43.543Z
11855,12909,355247144,150384886,11855,355247144,lwc,Expected an assignment or function call and instead saw an expression.,1,1,2,no-unused-expressions,suggestion,eslint-lwc,https://eslint.org/docs/latest/rules/no-unused-expressions,59,addMetadataTable.js,addMetadataTable,2026-05-04T00:45:43.543Z,2026-05-04T00:45:43.543Z
11855,12909,355247144,150384887,11855,355247144,lwc,'hidden' is not defined.,1,2,2,no-undef,problem,eslint-lwc,https://eslint.org/docs/latest/rules/no-undef,60,addMetadataTable.js,addMetadataTable,2026-05-04T00:45:43.543Z,2026-05-04T00:45:43.543Z
11855,12909,355247146,150384888,11855,355247146,lwc,Expected an assignment or function call and instead saw an expression.,1,1,2,no-unused-expressions,suggestion,eslint-lwc,https://eslint.org/docs/latest/rules/no-unused-expressions,61,addMetadataTableColumns.js,addMetadataTableColumns,2026-05-04T00:45:43.543Z,2026-05-04T00:45:43.543Z
11855,12909,355247146,150384889,11855,355247146,lwc,'hidden' is not defined.,1,2,2,no-undef,problem,eslint-lwc,https://eslint.org/docs/latest/rules/no-undef,62,addMetadataTableColumns.js,addMetadataTableColumns,2026-05-04T00:45:43.543Z,2026-05-04T00:45:43.543Z
11855,12909,355247149,150384890,11855,355247149,lwc,Expected an assignment or function call and instead saw an expression.,1,1,2,no-unused-expressions,suggestion,eslint-lwc,https://eslint.org/docs/latest/rules/no-unused-expressions,63,advanceHomePage.js,advanceHomePage,2026-05-04T00:45:43.543Z,2026-05-04T00:45:43.543Z
11855,12909,355247149,150384891,11855,355247149,lwc,'hidden' is not defined.,1,2,2,no-undef,problem,eslint-lwc,https://eslint.org/docs/latest/rules/no-undef,64,advanceHomePage.js,advanceHomePage,2026-05-04T00:45:43.543Z,2026-05-04T00:45:43.543Z
11855,12909,355247151,150384892,11855,355247151,lwc,Expected an assignment or function call and instead saw an expression.,1,1,2,no-unused-expressions,suggestion,eslint-lwc,https://eslint.org/docs/latest/rules/no-unused-expressions,65,advanceHomePagePo.js,advanceHomePagePo,2026-05-04T00:45:43.543Z,2026-05-04T00:45:43.543Z
11855,12909,355247151,150384893,11855,355247151,lwc,'hidden' is not defined.,1,2,2,no-undef,problem,eslint-lwc,https://eslint.org/docs/latest/rules/no-undef,66,advanceHomePagePo.js,advanceHomePagePo,2026-05-04T00:45:43.543Z,2026-05-04T00:45:43.543Z
11855,12909,355247154,150384894,11855,355247154,lwc,Expected an assignment or function call and instead saw an expression.,1,1,2,no-unused-expressions,suggestion,eslint-lwc,https://eslint.org/docs/latest/rules/no-unused-expressions,67,advanceHomePageActivePoliciesTable.js,advanceHomePageActivePoliciesTable,2026-05-04T00:45:43.543Z,2026-05-04T00:45:43.543Z
11855,12909,355247154,150384895,11855,355247154,lwc,'hidden' is not defined.,1,2,2,no-undef,problem,eslint-lwc,https://eslint.org/docs/latest/rules/no-undef,68,advanceHomePageActivePoliciesTable.js,advanceHomePageActivePoliciesTable,2026-05-04T00:45:43.543Z,2026-05-04T00:45:43.543Z
11855,12909,355247156,150384896,11855,355247156,lwc,Expected an assignment or function call and instead saw an expression.,1,1,2,no-unused-expressions,suggestion,eslint-lwc,https://eslint.org/docs/latest/rules/no-unused-expressions,69,advanceHomePageActivePoliciesTablePo.js,advanceHomePageActivePoliciesTablePo,2026-05-04T00:45:43.543Z,2026-05-04T00:45:43.543Z
11855,12909,355247156,150384897,11855,355247156,lwc,'hidden' is not defined.,1,2,2,no-undef,problem,eslint-lwc,https://eslint.org/docs/latest/rules/no-undef,70,advanceHomePageActivePoliciesTablePo.js,advanceHomePageActivePoliciesTablePo,2026-05-04T00:45:43.543Z,2026-05-04T00:45:43.543Z
11855,12909,355247158,150384898,11855,355247158,lwc,Expected an assignment or function call and instead saw an expression.,1,1,2,no-unused-expressions,suggestion,eslint-lwc,https://eslint.org/docs/latest/rules/no-unused-expressions,71,advanceHomePageArchiveStorageTimline.js,advanceHomePageArchiveStorageTimline,2026-05-04T00:45:43.543Z,2026-05-04T00:45:43.543Z
11855,12909,355247158,150384899,11855,355247158,lwc,'hidden' is not defined.,1,2,2,no-undef,problem,eslint-lwc,https://eslint.org/docs/latest/rules/no-undef,72,advanceHomePageArchiveStorageTimline.js,advanceHomePageArchiveStorageTimline,2026-05-04T00:45:43.543Z,2026-05-04T00:45:43.543Z
11855,12909,355247161,150384900,11855,355247161,lwc,Expected an assignment or function call and instead saw an expression.,1,1,2,no-unused-expressions,suggestion,eslint-lwc,https://eslint.org/docs/latest/rules/no-unused-expressions,73,advanceHomePageArchivedRecordsByTime.js,advanceHomePageArchivedRecordsByTime,2026-05-04T00:45:43.543Z,2026-05-04T00:45:43.543Z
11855,12909,355247161,150384901,11855,355247161,lwc,'hidden' is not defined.,1,2,2,no-undef,problem,eslint-lwc,https://eslint.org/docs/latest/rules/no-undef,74,advanceHomePageArchivedRecordsByTime.js,advanceHomePageArchivedRecordsByTime,2026-05-04T00:45:43.543Z,2026-05-04T00:45:43.543Z
11855,12909,355247164,150384902,11855,355247164,lwc,Expected an assignment or function call and instead saw an expression.,1,1,2,no-unused-expressions,suggestion,eslint-lwc,https://eslint.org/docs/latest/rules/no-unused-expressions,75,advanceHomePageArchiverApiUsage.js,advanceHomePageArchiverApiUsage,2026-05-04T00:45:43.543Z,2026-05-04T00:45:43.543Z
