metadataName,scanName,itemName,id,metadataId,itemId,problem,line,ruleset,rule,priority,description,type,column,engine,url,name,label,createdAt,updatedAt
11855,12909,355237701,144983805,11855,355237701,42,12,Security,ApexSharingViolations,3,Apex classes should declare a sharing model if DML or SOQL/SOSL is used,class,5,pmd,https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_security.html#apexsharingviolations,ActionDispatcherSubmitRecord.cls,ActionDispatcherSubmitRecord,2026-05-04T00:46:59.813Z,2026-05-04T00:46:59.813Z
11855,12909,355237701,144983806,11855,355237701,43,12,Documentation,ApexDoc,3,Missing ApexDoc comment,class,12,pmd,https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc,ActionDispatcherSubmitRecord.cls,ActionDispatcherSubmitRecord,2026-05-04T00:46:59.813Z,2026-05-04T00:46:59.813Z
11855,12909,355237701,144983807,11855,355237701,44,16,Documentation,ApexDoc,3,Missing ApexDoc comment,class,16,pmd,https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc,ActionDispatcherSubmitRecord.cls,ActionDispatcherSubmitRecord,2026-05-04T00:46:59.813Z,2026-05-04T00:46:59.813Z
11855,12909,355237701,144983808,11855,355237701,45,21,Documentation,ApexDoc,3,Missing ApexDoc comment,class,16,pmd,https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc,ActionDispatcherSubmitRecord.cls,ActionDispatcherSubmitRecord,2026-05-04T00:46:59.813Z,2026-05-04T00:46:59.813Z
11855,12909,355237701,144983809,11855,355237701,46,49,Security,ApexCRUDViolation,3,Validate CRUD permission before SOQL/DML operation or enforce user mode,class,21,pmd,https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_security.html#apexcrudviolation,ActionDispatcherSubmitRecord.cls,ActionDispatcherSubmitRecord,2026-05-04T00:46:59.813Z,2026-05-04T00:46:59.813Z
11855,12909,355237701,144983810,11855,355237701,47,69,Security,ApexCRUDViolation,3,Validate CRUD permission before SOQL/DML operation or enforce user mode,class,21,pmd,https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_security.html#apexcrudviolation,ActionDispatcherSubmitRecord.cls,ActionDispatcherSubmitRecord,2026-05-04T00:46:59.813Z,2026-05-04T00:46:59.813Z
11855,12909,355237701,144983811,11855,355237701,48,89,Security,ApexCRUDViolation,3,Validate CRUD permission before SOQL/DML operation or enforce user mode,class,21,pmd,https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_security.html#apexcrudviolation,ActionDispatcherSubmitRecord.cls,ActionDispatcherSubmitRecord,2026-05-04T00:46:59.813Z,2026-05-04T00:46:59.813Z
11855,12909,355237702,144983812,11855,355237702,49,9,Documentation,ApexDoc,3,Missing ApexDoc comment,class,8,pmd,https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc,ActionDispatcherViewSelectedRecord.cls,ActionDispatcherViewSelectedRecord,2026-05-04T00:46:59.813Z,2026-05-04T00:46:59.813Z
11855,12909,355237702,144983813,11855,355237702,50,14,Documentation,ApexDoc,3,Missing ApexDoc comment,class,12,pmd,https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc,ActionDispatcherViewSelectedRecord.cls,ActionDispatcherViewSelectedRecord,2026-05-04T00:46:59.813Z,2026-05-04T00:46:59.813Z
11855,12909,355237702,144983814,11855,355237702,51,18,Documentation,ApexDoc,3,Missing ApexDoc comment,class,16,pmd,https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc,ActionDispatcherViewSelectedRecord.cls,ActionDispatcherViewSelectedRecord,2026-05-04T00:46:59.813Z,2026-05-04T00:46:59.813Z
